#{"t_start": 1724501887.995232, "env_id": "CustomHopper-source-v0"}
r,l,t
564.178082,221,36.487677
312.337481,127,36.525518
349.918288,136,36.563901
319.762916,128,37.349791
275.657502,117,37.38499
295.20738,117,37.417513
270.156041,130,37.454058
434.389644,175,37.504018
358.071716,139,37.542531
387.700644,173,37.590086
367.312295,137,37.62865
355.125085,133,37.667762
361.392427,163,37.717615
545.930648,207,37.779391
451.512439,176,37.833675
362.371983,131,37.874341
325.241949,130,37.9205
479.957319,180,38.485219
417.567124,185,38.53787
307.010936,119,38.569875
163.467768,83,38.592811
352.462126,145,38.634593
475.961024,185,38.68521
495.539776,199,38.742353
382.651053,150,38.785463
327.510692,118,38.819848
335.246826,133,38.855941
379.75029,162,38.901801
438.803613,168,38.946859
300.391934,131,38.981961
382.288945,138,39.58649
579.224729,230,39.653835
486.873112,177,39.703571
121.467494,74,39.72621
899.686205,376,39.840238
888.379072,375,39.924615
891.946608,376,40.009847
893.861553,376,40.099973
896.354706,376,40.191645
311.312667,129,40.236413
529.269451,235,40.3047
387.531582,151,40.352341
117.225665,65,40.368718
362.23492,133,40.406843
365.150017,168,40.455673
643.831335,255,40.528708
845.228786,368,41.312296
225.337461,104,41.348657
403.746531,141,41.38647
432.556723,167,41.432634
627.543842,237,41.497936
409.557553,168,41.544354
339.577738,128,41.578093
356.463642,151,41.618641
323.809157,141,41.657901
338.164127,130,41.69363
400.554689,163,41.737236
500.025005,185,41.788218
445.478989,205,41.843071
270.589247,118,42.47743
197.803731,94,42.503413
208.699698,96,42.530471
381.171069,163,42.576612
742.317644,369,42.678111
588.796252,210,42.734149
296.590953,117,42.766684
327.550217,146,42.805679
586.290247,217,42.865262
609.503316,255,42.931255
614.097754,258,42.987509
425.115726,190,43.028567
615.15615,260,43.085271
636.558466,259,43.140115
311.121693,139,43.182455
462.92677,175,43.229639
387.998092,146,43.271389
714.401611,266,43.760566
315.096842,116,43.794225
428.658392,177,43.842686
607.651452,224,43.905897
527.875644,194,43.959246
607.325724,217,44.019615
693.595193,238,44.085313
297.239339,128,44.119828
296.26028,130,44.155117
387.908635,175,44.204182
527.551425,197,44.257352
317.447374,139,45.117935
367.291168,129,45.158121
590.01951,196,45.218783
651.014491,249,45.292577
719.780212,254,45.368594
573.062596,203,45.429336
564.809694,226,45.494221
339.135759,162,45.54253
479.045875,174,45.593532
783.294274,300,45.67298
351.101685,130,46.257597
738.742435,279,46.340452
722.028141,237,46.401243
750.915803,245,46.454962
383.267448,170,46.491429
704.216938,230,46.542745
696.992492,229,46.589734
484.800302,220,46.653317
518.013844,169,46.698962
528.129737,221,46.759907
725.692131,287,46.837654
573.795368,224,46.898201
451.482839,203,46.954575
616.328916,206,47.009031
774.470733,258,48.035651
759.833308,269,48.115483
420.499682,182,48.171451
625.248237,205,48.232593
719.486088,245,48.305841
649.450688,235,48.377223
435.013702,183,48.43058
651.611498,239,48.501966
647.805148,241,48.573249
618.624508,195,49.219378
683.523298,233,49.287639
784.865148,254,49.365527
203.763278,101,49.395877
126.621027,71,49.416461
1076.589279,363,49.523365
148.966988,79,49.547141
362.798992,164,49.620342
107.0098,61,49.634327
132.251281,71,49.650808
1155.675143,500,49.770354
345.171455,159,49.806756
157.059341,72,49.831075
240.396978,107,49.862075
571.194766,188,49.91828
630.87615,211,49.980237
278.545638,130,50.020426
584.181766,195,50.558089
628.853966,237,50.622967
727.05078,235,50.688038
498.904955,163,50.731872
455.60714,151,50.772026
395.237787,139,50.810523
454.749492,203,50.864339
111.49107,61,50.880738
401.128486,176,50.929674
994.626315,366,51.031563
508.026453,232,52.04991
530.262964,194,52.108386
606.105823,190,52.164571
628.369606,270,52.245532
