#{"t_start": 1724524147.7140648, "env_id": "CustomHopper-source-v0"}
r,l,t
223.037669,108,17.14787
213.692832,98,17.175224
207.146303,93,17.201673
219.488336,99,18.155605
228.497199,101,18.196912
211.916083,93,18.226714
201.640448,90,18.255337
212.322071,96,18.284337
214.316812,100,18.313997
182.958548,89,18.341383
198.232235,90,18.371364
204.391978,96,18.400142
118.220887,61,18.419623
213.995988,98,18.449541
206.825128,91,18.479089
207.652691,96,18.508011
93.141931,50,18.523574
202.805757,89,18.550599
219.45805,96,18.600193
221.983945,97,18.622414
221.928294,97,18.644135
219.598332,96,18.665802
219.722408,96,18.688963
184.965588,90,18.718531
221.291724,98,18.748821
218.712749,97,18.78066
222.972046,101,18.811129
189.858845,88,18.837425
213.102218,95,18.866509
225.080707,102,18.899271
226.193274,104,19.355848
207.753137,101,19.390321
269.780353,117,19.423235
194.760753,91,19.450879
286.421575,121,19.488699
225.907062,101,19.519032
256.904393,114,19.553799
227.909099,107,19.587676
267.537049,111,19.620676
210.779741,95,19.649415
243.399298,117,19.685229
226.978849,102,19.715325
216.585762,96,19.744366
217.724417,92,19.772414
217.551325,95,19.803521
231.722855,104,19.834697
225.178689,114,19.868227
236.530829,101,19.900444
226.83628,103,19.930896
220.41056,92,19.956959
257.354169,111,20.870721
259.567206,117,20.90616
286.89291,123,20.94055
306.201335,126,20.975628
246.717833,107,21.007778
198.647095,93,21.034462
250.531912,110,21.064936
246.514103,118,21.098249
240.661649,100,21.129394
217.643881,102,21.158809
281.056788,123,21.192894
282.972046,120,21.2281
265.892325,113,21.259497
271.392795,125,21.294265
240.451148,113,21.327161
276.260752,116,21.35921
196.779506,96,21.386816
225.027229,96,21.415383
274.709746,113,22.393133
234.719064,104,22.427393
305.067487,127,22.467207
301.807934,125,22.497303
305.408959,127,22.533334
305.37519,127,22.560509
303.243199,126,22.586733
291.72504,115,22.628164
291.969886,120,22.662367
252.137307,103,22.691874
225.845918,100,22.720856
240.022827,101,22.751028
245.86447,109,22.782159
118.595651,59,22.799407
211.12805,91,22.826187
317.122088,133,22.864415
268.478216,118,22.897454
225.786511,100,22.926271
260.057394,107,22.957938
241.853524,102,22.987491
227.393473,103,23.016836
286.944321,124,23.05338
281.26453,111,23.085035
286.470612,119,23.118146
210.22857,97,24.117709
300.450599,127,24.162182
94.947833,53,24.176469
233.552116,107,24.210807
161.537484,77,24.235656
322.489587,144,24.281013
306.722773,140,24.32381
142.667183,67,24.344979
255.887672,112,24.381252
322.208609,133,24.420887
251.865003,105,24.452323
251.539401,114,24.487952
151.801436,73,24.510765
302.380555,124,24.548183
234.194613,105,24.581792
128.889886,67,24.602876
290.099109,123,24.6393
292.765362,124,24.677967
223.650103,97,24.707338
176.790445,86,24.734196
110.462391,53,25.69235
109.600203,53,25.713557
322.127647,130,25.755004
112.622621,61,25.777407
155.880698,72,25.800685
256.545043,108,25.834927
297.701706,124,25.874967
236.115524,113,25.910694
335.572776,130,25.950295
289.186759,122,25.989752
308.093006,132,26.063223
310.273996,133,26.095906
308.487589,132,26.126809
305.918202,131,26.156494
310.221802,133,26.188668
263.011663,114,26.2315
243.53593,119,26.268395
188.036718,98,26.301199
290.862433,123,26.340414
268.227026,114,26.375799
280.599897,117,26.412952
293.118425,126,26.451192
129.468905,66,26.472425
276.402356,118,27.450505
321.853839,136,27.495826
329.998505,128,27.537432
86.957158,49,27.55417
327.558681,138,27.60047
293.911502,133,27.641072
301.823141,139,27.683749
331.223245,130,27.725442
303.809256,133,27.76638
313.771593,116,27.803672
320.543759,130,27.842508
130.864617,72,27.864259
357.520752,161,27.913089
345.568052,132,27.952204
326.194518,141,27.994695
237.011516,123,28.033419
228.299579,101,28.063534
303.086567,127,28.548377
235.489056,110,28.582783
173.786177,79,28.608205
326.482295,132,28.652352
