#{"t_start": 1724744570.4560468, "env_id": "CustomHopper-source-v0"}
r,l,t
225.704468,101,30.914176
184.238976,95,30.959045
228.463608,102,31.008656
200.897247,98,31.05552
233.953999,115,31.111337
208.924078,96,31.157424
213.02985,92,31.202976
186.230409,83,31.242802
202.367462,95,31.288139
196.62297,90,31.332136
203.152683,88,31.37431
198.063705,91,31.418933
203.442536,91,31.462396
219.754032,100,31.511321
200.51534,93,31.558015
162.036445,72,31.592726
81.552467,52,31.619088
188.560052,87,31.660959
220.668644,102,31.710953
221.159374,106,31.761748
193.021511,88,32.365602
199.121792,87,32.4105
196.09738,88,32.456413
194.596195,93,32.503141
209.995518,95,32.553793
206.81657,90,32.599431
200.538814,94,32.647986
202.895112,94,32.695646
177.786437,86,32.740708
212.715261,93,32.787987
239.074451,109,32.844093
213.349218,109,32.89924
201.389729,89,32.950304
201.604136,89,32.976601
201.977661,89,33.003813
199.993817,88,33.034921
199.504013,88,33.062512
105.004241,54,33.090747
205.342793,86,33.132823
201.044675,84,33.173266
198.523652,90,33.216444
217.690787,98,33.264737
208.466921,88,33.307153
212.716072,98,33.355456
132.527314,76,33.392118
208.403903,89,33.435782
205.26676,89,33.478989
193.522759,92,33.523209
203.274006,87,34.161028
227.371504,102,34.20982
173.315401,84,34.251166
214.192016,96,34.297293
233.996363,102,34.347383
197.325661,86,34.389215
214.624511,94,34.434819
80.959067,49,34.460562
209.562762,92,34.505582
138.406957,68,34.539104
201.638766,88,34.585327
217.521342,100,34.634358
191.462961,87,34.677808
215.312738,97,34.725497
213.76795,98,34.773953
222.446106,98,34.820034
207.261172,93,34.865214
205.188375,94,34.910204
183.670894,87,34.953077
187.837741,81,34.992314
201.952264,88,35.034913
197.294834,88,35.078488
204.025634,91,35.12242
193.986165,92,35.765394
215.376456,99,35.816124
237.256366,105,35.870999
202.57991,92,35.918275
209.54483,94,35.967852
221.179577,101,36.018915
222.802538,104,36.072954
211.337707,94,36.121149
183.520403,90,36.168347
208.723732,97,36.217859
211.167653,99,36.269698
196.516843,89,36.315187
194.89794,98,36.366233
218.987422,97,36.413063
202.549515,88,36.457056
206.859535,94,36.505121
227.145442,104,36.55952
