#{"t_start": 1726013511.7930896, "env_id": "CustomHopper-target-v0"}
r,l,t
248.179291,114,13.703008
231.032533,117,13.744527
230.71304,111,13.784837
225.19596,106,13.82425
253.082408,109,13.862426
245.694413,122,13.908586
164.575529,81,13.937809
236.532707,112,13.97912
231.837532,110,14.020157
219.635812,107,14.05787
227.080511,102,14.095196
244.82604,111,14.136386
238.957458,133,14.718222
194.61104,95,14.752361
201.332789,107,14.79123
188.492802,95,14.825966
234.341141,112,14.866091
182.578381,89,14.899034
255.156273,132,14.948298
228.516211,117,14.991015
216.488841,99,15.02758
228.316053,106,15.065492
219.445356,97,15.101586
217.384027,101,15.139199
233.870106,118,15.180827
225.004224,106,15.219809
167.632037,83,15.25215
260.670435,137,15.302288
227.840934,106,15.340903
212.980577,104,15.378336
232.654875,112,15.419327
225.668781,103,15.991365
224.211003,106,16.029714
227.740823,105,16.069109
236.813962,115,16.111498
233.251145,107,16.150661
233.515786,107,16.182282
235.668174,108,16.215262
235.46421,108,16.248084
236.920823,109,16.280228
223.363092,100,16.330586
223.758834,107,16.368942
233.421262,107,16.406388
169.478978,84,16.437955
233.193344,103,16.47722
224.694927,113,16.518577
227.339903,108,16.558777
217.188486,112,16.598088
216.756051,107,16.637325
233.003741,105,16.677463
218.347977,99,16.712205
223.719308,111,16.753325
223.988307,109,16.792032
229.314377,105,16.83074
238.260765,115,16.871637
137.953242,80,17.432958
190.334356,91,17.46589
230.998065,112,17.505363
232.836586,105,17.543891
247.907052,113,17.585521
79.485424,49,17.602837
248.828533,118,17.646006
223.119926,104,17.684224
173.703377,86,17.714544
230.146299,103,17.752434
230.065928,118,17.796083
119.004784,66,17.819206
237.587345,113,17.860643
244.015406,112,17.90245
144.313936,76,17.929141
228.076463,101,17.966438
127.261762,67,17.99233
237.802678,109,18.030382
133.242171,72,18.057391
226.924139,109,18.097944
243.340924,104,18.134189
235.834913,116,18.703131
235.134087,104,18.739268
246.09841,108,18.779049
197.811565,93,18.812108
211.12286,105,18.848555
189.697457,94,18.883069
173.750792,83,18.912963
231.875341,108,18.951032
135.039274,76,18.979432
236.584313,112,19.019274
124.47206,65,19.042017
264.458774,121,19.086128
242.22237,109,19.124718
234.46935,108,19.164656
245.436574,108,19.197742
247.512123,109,19.22928
247.91311,109,19.262341
247.534339,109,19.293669
245.48941,108,19.325003
227.34978,103,19.37478
228.364866,106,19.412466
243.080481,105,19.449512
238.935416,109,19.489617
248.54387,106,19.527117
242.221953,110,19.567327
229.89122,99,20.123645
208.18786,98,20.158385
238.479721,118,20.2013
249.872921,108,20.239588
242.193195,112,20.280429
233.743147,103,20.317051
261.402796,127,20.361372
238.302877,111,20.402072
234.219469,111,20.441335
229.266785,104,20.479664
167.841233,82,20.508703
262.175919,128,20.553857
231.015134,111,20.594316
213.314124,95,20.628144
251.333794,122,20.670644
132.82118,71,20.697673
